"id","line_no","original_line","mutated_line","source_filepath"
"bcel_2516",386,"if (! ((last instanceof ReturnInstruction)    ||","if (! ((true)    ||","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2517",386,"if (! ((last instanceof ReturnInstruction)    ||","if (false)    ||","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2518",386,"if (! ((last instanceof ReturnInstruction)    ||","if (true)    ||","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2519",386,"if (! ((last instanceof ReturnInstruction)    ||","if (false)    ||","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2520",386,"if (! ((last instanceof ReturnInstruction)    ||","if (true)    ||","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2521",386,"if (! ((last instanceof ReturnInstruction)    ||","if (false)    ||","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2522",386,"if (! ((last instanceof ReturnInstruction)    ||","if (true)    ||","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2523",424,"while (ih != null) {","while (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2524",424,"while (ih != null) {","while (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2525",428,"if (i instanceof JsrInstruction) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2526",428,"if (i instanceof JsrInstruction) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2527",430,"if (target == instructionList.getStart()) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2528",430,"if (target == instructionList.getStart()) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2529",435,"if (!(target.getInstruction() instanceof ASTORE)) {","if (!(false)) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2530",435,"if (!(target.getInstruction() instanceof ASTORE)) {","if (!(true)) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2531",443,"ih.accept(v);","// removed call to accept()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2532",1200,"if ( (element.getName().equals(invoke.getMethodName(constantPoolGen))) &&","if ( (false) &&","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2533",1200,"if ( (element.getName().equals(invoke.getMethodName(constantPoolGen))) &&","if ( (true) &&","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2534",1201,"(Type.getReturnType(element.getSignature()).equals(invoke.getReturnType(constantPoolGen))) &&","(false) &&","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2535",1201,"(Type.getReturnType(element.getSignature()).equals(invoke.getReturnType(constantPoolGen))) &&","(true) &&","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2536",1203,"return element;","return null;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2537",1168,"if(m != null) {","if(false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2538",1168,"if(m != null) {","if(true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2539",1170,"return m;","return null;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2540",1175,"if(m != null) {","if(false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2541",1175,"if(m != null) {","if(true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2542",1177,"return m;","return null;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2543",1183,"if(m != null) {","if(false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2544",1183,"if(m != null) {","if(true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2545",1185,"return m;","return null;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2546",578,"if(rt instanceof ObjectType) {","if(false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2547",578,"if(rt instanceof ObjectType) {","if(true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2548",579,"return (ObjectType)rt;","return null;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2549",581,"constraintViolated(o, ""expecting ObjectType but got ""+rt);","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2550",507,"if (idx < 0 || idx >= constantPoolGen.getSize()) {","if (idx <= 0 || idx >= constantPoolGen.getSize()) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2551",507,"if (idx < 0 || idx >= constantPoolGen.getSize()) {","if (false || idx >= constantPoolGen.getSize()) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2552",507,"if (idx < 0 || idx >= constantPoolGen.getSize()) {","if (true || idx >= constantPoolGen.getSize()) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2553",507,"if (idx < 0 || idx >= constantPoolGen.getSize()) {","if (idx < 0 || idx > constantPoolGen.getSize()) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2554",507,"if (idx < 0 || idx >= constantPoolGen.getSize()) {","if (idx < 0 || false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2555",507,"if (idx < 0 || idx >= constantPoolGen.getSize()) {","if (idx < 0 || true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2556",508,"constraintViolated(i, ""Illegal constant pool index '""+idx+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2557",488,"return Repository.lookupClass(myOwner.getClassName()).getMethods()[methodNo].getCode().getMaxLocals();","return 0;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2558",1328,"if (o.length != p.length) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2559",1328,"if (o.length != p.length) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2560",1329,"return false;","return true;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2561",1332,"for (int i=0; i<o.length; i++) {","for (int i=0; i<=o.length; i++) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2562",1332,"for (int i=0; i<o.length; i++) {","for (int i=0; false; i++) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2563",1332,"for (int i=0; i<o.length; i++) {","for (int i=0; true; i++) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2564",1333,"if (! (o[i].equals(p[i])) ) {","if (! (false) ) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2565",1333,"if (! (o[i].equals(p[i])) ) {","if (! (true) ) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2566",1334,"return false;","return true;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2567",1338,"return true;","return false;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2568",873,"if (idx < 0) {","if (idx <= 0) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2569",873,"if (idx < 0) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2570",873,"if (idx < 0) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2571",874,"constraintViolated(o, ""Index '""+idx+""' must be non-negative."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2572",877,"final int maxminus1 =  max_locals()-1;","final int maxminus1 =  max_locals()+1;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2573",878,"if (idx > maxminus1) {","if (idx >= maxminus1) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2574",878,"if (idx > maxminus1) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2575",878,"if (idx > maxminus1) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2576",879,"constraintViolated(o, ""Index '""+idx+""' must not be greater than max_locals-1 '""+maxminus1+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2577",807,"indexValid(o, o.getIndex());","indexValid(o, o.getIndex());  // removed call to indexValid()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2578",809,"if (!    (c instanceof ConstantClass)) {","if (!    (false)) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2579",809,"if (!    (c instanceof ConstantClass)) {","if (!    (true)) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2580",810,"constraintViolated(o, ""Expecting a CONSTANT_Class operand, but found a '""+c+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2581",813,"if (t instanceof ArrayType) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2582",813,"if (t instanceof ArrayType) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2583",815,"if (dimensions > Const.MAX_ARRAY_DIMENSIONS) {","if (dimensions >= Const.MAX_ARRAY_DIMENSIONS) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2584",815,"if (dimensions > Const.MAX_ARRAY_DIMENSIONS) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2585",815,"if (dimensions > Const.MAX_ARRAY_DIMENSIONS) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2586",816,"constraintViolated(o,","constraintViolated(o,  // removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2587",918,"if (idx < 0) {","if (idx <= 0) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2588",918,"if (idx < 0) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2589",918,"if (idx < 0) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2590",919,"constraintViolated(o, ""Index '""+idx+""' must be non-negative."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2591",922,"final int maxminus1 =  max_locals()-1;","final int maxminus1 =  max_locals()+1;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2592",923,"if (idx > maxminus1) {","if (idx >= maxminus1) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2593",923,"if (idx > maxminus1) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2594",923,"if (idx > maxminus1) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2595",924,"constraintViolated(o, ""Index '""+idx+""' must not be greater than max_locals-1 '""+maxminus1+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2596",752,"indexValid(o, o.getIndex());","indexValid(o, o.getIndex());  // removed call to indexValid()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2597",754,"if (!    (c instanceof ConstantClass)) {","if (!    (false)) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2598",754,"if (!    (c instanceof ConstantClass)) {","if (!    (true)) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2599",755,"constraintViolated(o, ""Expecting a CONSTANT_Class operand, but found a '""+c+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2600",979,"if (idx < 0) {","if (idx <= 0) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2601",979,"if (idx < 0) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2602",979,"if (idx < 0) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2603",980,"constraintViolated(o, ""Index '""+idx+""' must be non-negative.""+","constraintViolated(o, ""Index '""+idx+""' must be non-negative.""+  // removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2604",984,"final int maxminus2 =  max_locals()-2;","final int maxminus2 =  max_locals()+2;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2605",985,"if (idx > maxminus2) {","if (idx >= maxminus2) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2606",985,"if (idx > maxminus2) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2607",985,"if (idx > maxminus2) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2608",986,"constraintViolated(o, ""Index '""+idx+""' must not be greater than max_locals-2 '""+maxminus2+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2609",1011,"if (idx < 0) {","if (idx <= 0) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2610",1011,"if (idx < 0) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2611",1011,"if (idx < 0) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2612",1012,"constraintViolated(o, ""Index '""+idx+""' must be non-negative.""+","constraintViolated(o, ""Index '""+idx+""' must be non-negative.""+  // removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2613",1016,"final int maxminus2 =  max_locals()-2;","final int maxminus2 =  max_locals()+2;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2614",1017,"if (idx > maxminus2) {","if (idx >= maxminus2) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2615",1017,"if (idx > maxminus2) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2616",1017,"if (idx > maxminus2) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2617",1018,"constraintViolated(o, ""Index '""+idx+""' must not be greater than max_locals-2 '""+maxminus2+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2618",858,"if (idx < 0) {","if (idx <= 0) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2619",858,"if (idx < 0) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2620",858,"if (idx < 0) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2621",859,"constraintViolated(o, ""Index '""+idx+""' must be non-negative."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2622",862,"final int maxminus1 =  max_locals()-1;","final int maxminus1 =  max_locals()+1;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2623",863,"if (idx > maxminus1) {","if (idx >= maxminus1) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2624",863,"if (idx > maxminus1) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2625",863,"if (idx > maxminus1) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2626",864,"constraintViolated(o, ""Index '""+idx+""' must not be greater than max_locals-1 '""+maxminus1+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2627",903,"if (idx < 0) {","if (idx <= 0) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2628",903,"if (idx < 0) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2629",903,"if (idx < 0) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2630",904,"constraintViolated(o, ""Index '""+idx+""' must be non-negative."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2631",907,"final int maxminus1 =  max_locals()-1;","final int maxminus1 =  max_locals()+1;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2632",908,"if (idx > maxminus1) {","if (idx >= maxminus1) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2633",908,"if (idx > maxminus1) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2634",908,"if (idx > maxminus1) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2635",909,"constraintViolated(o, ""Index '""+idx+""' must not be greater than max_locals-1 '""+maxminus1+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2636",590,"indexValid(o, o.getIndex());","indexValid(o, o.getIndex());  // removed call to indexValid()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2637",592,"if (! (c instanceof ConstantFieldref)) {","if (! (false)) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2638",592,"if (! (c instanceof ConstantFieldref)) {","if (! (true)) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2639",593,"constraintViolated(o, ""Indexing a constant that's not a CONSTANT_Fieldref but a '""+c+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2640",602,"if (field.getName().equals(field_name)) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2641",602,"if (field.getName().equals(field_name)) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2642",608,"if (f_type.equals(o_type)) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2643",608,"if (f_type.equals(o_type)) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2644",614,"if (f == null) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2645",614,"if (f == null) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2646",620,"if (field.getName().equals(field_name)) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2647",620,"if (field.getName().equals(field_name)) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2648",623,"if (f_type.equals(o_type)) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2649",623,"if (f_type.equals(o_type)) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2650",625,"if ((f.getAccessFlags() & (Const.ACC_PUBLIC | Const.ACC_PROTECTED)) == 0) {","if ((f.getAccessFlags() | (Const.ACC_PUBLIC | Const.ACC_PROTECTED)) == 0) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2651",625,"if ((f.getAccessFlags() & (Const.ACC_PUBLIC | Const.ACC_PROTECTED)) == 0) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2652",625,"if ((f.getAccessFlags() & (Const.ACC_PUBLIC | Const.ACC_PROTECTED)) == 0) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2653",633,"if (f == null) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2654",633,"if (f == null) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2655",634,"constraintViolated(o, ""Referenced field '""+field_name+""' does not exist in class '""+jc.getClassName()+""'."");","constraintViolated(o, ""Referenced field '""+field_name+""' does not exist in class '""+jc.getClassName()+""'."");  // removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2656",1099,"if (field.getName().equals(field_name)) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2657",1099,"if (field.getName().equals(field_name)) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2658",1104,"if (f == null) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2659",1104,"if (f == null) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2660",1108,"if (! (f.isStatic())) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2661",1108,"if (! (f.isStatic())) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2662",1109,"constraintViolated(o, ""Referenced field '""+f+""' is not static which it should be."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2663",933,"if (idx < 0) {","if (idx <= 0) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2664",933,"if (idx < 0) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2665",933,"if (idx < 0) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2666",934,"constraintViolated(o, ""Index '""+idx+""' must be non-negative."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2667",937,"final int maxminus1 =  max_locals()-1;","final int maxminus1 =  max_locals()+1;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2668",938,"if (idx > maxminus1) {","if (idx >= maxminus1) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2669",938,"if (idx > maxminus1) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2670",938,"if (idx > maxminus1) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2671",939,"constraintViolated(o, ""Index '""+idx+""' must not be greater than max_locals-1 '""+maxminus1+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2672",843,"if (idx < 0) {","if (idx <= 0) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2673",843,"if (idx < 0) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2674",843,"if (idx < 0) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2675",844,"constraintViolated(o, ""Index '""+idx+""' must be non-negative."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2676",847,"final int maxminus1 =  max_locals()-1;","final int maxminus1 =  max_locals()+1;","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2677",848,"if (idx > maxminus1) {","if (idx >= maxminus1) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2678",848,"if (idx > maxminus1) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2679",848,"if (idx > maxminus1) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2680",849,"constraintViolated(o, ""Index '""+idx+""' must not be greater than max_locals-1 '""+maxminus1+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2681",742,"indexValid(o, o.getIndex());","indexValid(o, o.getIndex());  // removed call to indexValid()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2682",744,"if (!    (c instanceof ConstantClass)) {","if (!    (false)) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2683",744,"if (!    (c instanceof ConstantClass)) {","if (!    (true)) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2684",745,"constraintViolated(o, ""Expecting a CONSTANT_Class operand, but found a '""+c+""'."");","// removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2685",1144,"if (m == null) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2686",1144,"if (m == null) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2687",1145,"constraintViolated(o, ""Referenced method '""+o.getMethodName(constantPoolGen)+""' with expected signature '""+o.getSignature(constantPoolGen)+","constraintViolated(o, ""Referenced method '""+o.getMethodName(constantPoolGen)+""' with expected signature '""+o.getSignature(constantPoolGen)+  // removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2688",1148,"if (jc.isClass()) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2689",1148,"if (jc.isClass()) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2690",1149,"constraintViolated(o, ""Referenced class '""+jc.getClassName()+""' is a class, but not an interface as expected."");","constraintViolated(o, ""Referenced class '""+jc.getClassName()+""' is a class, but not an interface as expected."");  // removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2691",1221,"if (m == null) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2692",1221,"if (m == null) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2693",1222,"constraintViolated(o, ""Referenced method '""+o.getMethodName(constantPoolGen)+""' with expected signature '""+o.getSignature(constantPoolGen)","constraintViolated(o, ""Referenced method '""+o.getMethodName(constantPoolGen)+""' with expected signature '""+o.getSignature(constantPoolGen)  // removed call to constraintViolated()","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2694",1227,"if (current.isSuper()) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2695",1227,"if (current.isSuper()) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2696",1229,"if ((Repository.instanceOf( current, jc )) && (!current.equals(jc))) {","if ((Repository.instanceOf( current, jc )) && (false)) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2697",1229,"if ((Repository.instanceOf( current, jc )) && (!current.equals(jc))) {","if ((Repository.instanceOf( current, jc )) && (true)) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2698",1229,"if ((Repository.instanceOf( current, jc )) && (!current.equals(jc))) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2699",1229,"if ((Repository.instanceOf( current, jc )) && (!current.equals(jc))) {","if (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2700",1231,"if (! (o.getMethodName(constantPoolGen).equals(Const.CONSTRUCTOR_NAME) )) {","if (! (false )) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2701",1231,"if (! (o.getMethodName(constantPoolGen).equals(Const.CONSTRUCTOR_NAME) )) {","if (! (true )) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2702",1237,"while (supidx != 0) {","while (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2703",1237,"while (supidx != 0) {","while (true) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2704",1243,"if    ( (meth2.getName().equals(o.getMethodName(constantPoolGen))) &&","if    ( (false) &&","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2705",1243,"if    ( (meth2.getName().equals(o.getMethodName(constantPoolGen))) &&","if    ( (true) &&","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2706",1244,"(Type.getReturnType(meth2.getSignature()).equals(o.getReturnType(constantPoolGen))) &&","(false) &&","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2707",1244,"(Type.getReturnType(meth2.getSignature()).equals(o.getReturnType(constantPoolGen))) &&","(true) &&","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
"bcel_2708",1250,"if (meth != null) {","if (false) {","org/apache/bcel/verifier/statics/Pass3aVerifier.java"
